antecedents,consequents,support,confidence,lift
"Area_Selatan, Siang, Minggu_3","ARREST_NO, Weekday",0.044,0.8979591836734693,1.0651947611784927
"Siang, Area_Utara",ARREST_NO,0.079,0.8977272727272728,1.064919659225709
"Siang, Area_Utara","Weekday, ARREST_NO",0.079,0.8977272727272728,1.064919659225709
"Weekday, Siang, Area_Utara",ARREST_NO,0.079,0.8977272727272728,1.064919659225709
"Weekday, Minggu_3, APARTMENT",ARREST_NO,0.052,0.8965517241379309,1.0635251769133227
"APARTMENT, Minggu_3","Weekday, ARREST_NO",0.052,0.8965517241379309,1.0635251769133227
"APARTMENT, Minggu_3",ARREST_NO,0.052,0.8965517241379309,1.0635251769133227
"Area_Tengah, THEFT","ARREST_NO, Weekday",0.069,0.8961038961038962,1.0629939455562232
"Area_Tengah, Weekday, THEFT",ARREST_NO,0.069,0.8961038961038962,1.0629939455562232
"Area_Tengah, THEFT",ARREST_NO,0.069,0.8961038961038962,1.0629939455562232
"Weekday, THEFT, Minggu_3, Malam",ARREST_NO,0.034,0.8947368421052633,1.061372291939814
"THEFT, Minggu_3, Malam",ARREST_NO,0.034,0.8947368421052633,1.061372291939814
"THEFT, Minggu_3, Malam","ARREST_NO, Weekday",0.034,0.8947368421052633,1.061372291939814
"Weekday, Siang, APARTMENT",ARREST_NO,0.051,0.894736842105263,1.0613722919398139
"APARTMENT, Siang","Weekday, ARREST_NO",0.051,0.894736842105263,1.0613722919398139
"APARTMENT, Siang",ARREST_NO,0.051,0.894736842105263,1.0613722919398139
"Area_Selatan, THEFT",ARREST_NO,0.041,0.891304347826087,1.0573005312290475
"Area_Selatan, Weekday, THEFT",ARREST_NO,0.041,0.891304347826087,1.0573005312290475
"Area_Selatan, THEFT","ARREST_NO, Weekday",0.041,0.891304347826087,1.0573005312290475
"APARTMENT, Malam","Weekday, ARREST_NO",0.057,0.890625,1.0564946619217082
"APARTMENT, Weekday, Malam",ARREST_NO,0.057,0.890625,1.0564946619217082
"APARTMENT, Malam",ARREST_NO,0.057,0.890625,1.0564946619217082
"Weekday, THEFT, Siang, Area_Utara",ARREST_NO,0.032,0.888888888888889,1.054435218136286
"THEFT, Siang, Area_Utara",ARREST_NO,0.032,0.888888888888889,1.054435218136286
"Siang, CRIMINAL DAMAGE",ARREST_NO,0.032,0.888888888888889,1.054435218136286
"THEFT, Siang, Area_Utara","ARREST_NO, Weekday",0.032,0.888888888888889,1.054435218136286
"Siang, CRIMINAL DAMAGE","Weekday, ARREST_NO",0.032,0.888888888888889,1.054435218136286
"Weekday, Siang, CRIMINAL DAMAGE",ARREST_NO,0.032,0.888888888888889,1.054435218136286
"Weekday, THEFT, Siang",ARREST_NO,0.103,0.8879310344827586,1.053298973289156
"THEFT, Siang","ARREST_NO, Weekday",0.103,0.8879310344827586,1.053298973289156
"THEFT, Siang",ARREST_NO,0.103,0.8879310344827586,1.053298973289156
